board	d	h0	hR1	hR2	hR3	hCEIL	fired1	fired2	fired3	exits	fb
0	44	34	34	34	36	44	0	0	1	6	0
1	52	38	38	38	40	50	0	1	1	9	0
2	44	36	36	36	38	44	0	0	1	4	0
3	46	34	34	34	36	46	0	0	2	7	0
4	58	52	52	52	52	58	0	0	0	4	0
5	54	46	46	46	46	52	0	0	0	6	0
6	40	34	34	34	34	40	0	1	2	5	0
7	52	30	30	30	34	50	0	0	3	11	0
8	52	32	32	32	38	50	0	0	5	11	0
9	50	38	38	38	38	50	0	0	2	9	0
10	56	44	44	44	44	54	0	0	1	7	0
11	48	36	36	36	36	46	0	0	2	7	0
12	48	40	40	40	40	46	0	0	0	6	0
13	48	34	34	34	36	44	0	0	1	6	0
14	54	40	40	40	40	52	0	0	0	7	0
15	66	56	56	56	56	64	0	0	0	5	0
16	64	52	52	52	52	58	0	0	0	7	0
17	52	38	38	38	38	48	0	0	0	5	0
18	46	36	36	36	36	44	0	0	1	5	0
19	56	36	36	36	36	54	0	0	1	12	0
20	48	38	38	38	38	46	0	0	0	5	0
21	56	40	40	40	40	54	0	0	1	10	0
22	56	42	42	42	42	52	0	0	1	8	0
23	46	30	30	30	36	46	0	0	3	9	0
24	60	46	46	46	46	60	0	0	0	7	0
25	50	44	44	44	44	50	0	0	0	3	0
26	34	34	34	34	36	34	0	0	2	2	0
27	56	44	44	44	44	52	0	0	2	8	0
28	54	40	40	40	42	52	0	1	2	10	0
29	52	38	38	38	38	50	0	1	2	9	0
30	44	36	36	36	36	42	0	1	1	7	0
31	58	52	52	52	52	58	0	0	0	6	0
32	54	38	38	38	40	52	0	0	1	8	0
33	56	42	42	42	42	54	0	0	1	8	0
34	62	42	42	42	42	56	0	0	0	9	0
35	42	32	32	32	34	42	0	1	2	7	0
36	56	42	42	42	42	56	0	0	1	9	0
37	56	38	38	38	38	56	0	0	1	11	0
38	52	40	40	40	40	52	0	0	1	9	0
39	56	44	44	44	44	52	0	0	0	4	0
40	54	46	46	46	46	54	0	0	0	6	0
41	52	38	38	38	38	50	0	0	0	7	0
42	40	34	34	34	36	40	0	0	1	4	0
43	52	34	34	34	38	52	0	0	2	11	0
44	64	52	52	52	52	62	0	0	0	9	0
45	44	36	36	36	38	44	0	0	1	5	0
46	46	40	40	40	42	44	0	1	1	5	0
47	60	44	44	44	46	58	0	0	1	8	0
48	50	44	44	44	44	50	0	0	0	3	0
49	48	40	40	40	40	48	0	0	2	7	0
50	52	42	42	42	44	52	0	0	1	6	0
51	46	40	40	40	42	46	0	1	1	6	0
52	36	30	30	30	32	36	0	0	1	5	0
53	48	34	34	34	36	46	0	0	1	6	0
54	56	42	42	42	44	56	0	0	1	8	0
55	48	30	30	30	32	48	0	0	1	9	0
56	46	32	32	32	36	44	0	1	3	8	0
57	58	46	46	46	48	58	0	0	3	10	0
58	56	44	44	44	44	56	0	0	0	8	0
59	50	36	36	36	38	48	0	1	3	9	0
60	54	46	46	46	46	54	0	0	0	7	0
61	44	38	38	38	40	42	0	0	1	2	0
62	46	38	38	38	40	46	0	1	2	6	0
63	44	34	34	34	34	42	0	0	0	4	0
64	54	44	44	44	44	50	0	1	1	6	0
65	52	40	40	40	40	52	0	0	0	9	0
66	62	44	44	44	44	58	0	0	0	8	0
67	52	44	44	44	44	50	0	0	1	6	0
68	56	40	40	40	44	56	0	0	2	9	0
69	54	38	38	38	42	52	0	0	3	9	0
70	60	48	48	48	48	58	0	0	0	7	0
71	44	32	32	32	32	42	0	0	0	7	0
72	40	34	34	34	36	40	0	0	1	3	0
73	46	34	34	34	36	46	0	0	1	7	0
74	58	36	36	36	38	58	0	0	2	13	0
75	48	40	40	40	40	48	0	0	0	5	0
76	62	48	48	48	48	60	0	0	0	7	0
77	46	36	36	36	36	46	0	0	0	6	0
78	54	38	38	38	40	54	0	0	1	8	0
79	50	40	40	40	40	48	0	0	0	4	0
80	50	36	36	36	36	50	0	0	1	8	0
81	58	46	46	46	48	54	0	0	1	7	0
82	46	34	34	34	36	44	0	0	1	6	0
83	62	46	46	46	48	58	0	0	1	8	0
84	50	40	40	40	40	48	0	0	0	4	0
85	62	48	48	48	48	62	0	0	0	10	0
86	66	50	50	50	52	62	0	1	2	9	0
87	58	42	42	42	44	52	0	1	2	7	0
88	46	36	36	36	38	46	0	0	3	7	0
89	54	46	46	46	46	52	0	0	1	5	0
90	58	52	52	52	52	58	0	0	0	5	0
91	38	28	28	28	30	38	0	0	1	5	0
92	54	40	40	40	40	52	0	0	0	7	0
93	56	44	44	44	46	54	0	0	2	6	0
94	48	36	36	36	36	48	0	0	2	8	0
95	48	32	32	32	34	44	0	0	2	7	0
96	56	46	46	46	46	54	0	0	1	7	0
97	52	40	40	40	40	50	0	0	0	6	0
98	36	30	30	30	32	36	0	0	2	4	0
99	44	30	30	30	36	44	0	1	3	8	0
100	46	38	38	38	40	44	0	0	1	3	0
101	42	30	30	30	34	38	0	1	4	7	0
102	34	28	28	28	28	34	0	0	0	3	0
103	56	42	42	42	42	56	0	0	0	9	0
104	54	42	42	42	42	54	0	0	0	7	0
105	58	44	44	44	44	58	0	0	0	8	0
106	52	38	38	38	40	46	0	0	1	6	0
107	52	48	48	48	48	52	0	0	0	4	0
108	60	44	44	44	44	58	0	0	0	8	0
109	62	44	44	44	44	58	0	0	1	9	0
110	40	34	34	34	36	40	0	0	2	4	0
111	44	36	36	36	36	42	0	0	0	3	0
112	54	42	42	42	42	52	0	0	0	6	0
113	60	48	48	48	48	60	0	0	0	6	0
114	46	38	38	38	38	46	0	0	0	5	0
115	44	38	38	40	40	42	0	1	2	3	0
116	60	48	48	48	48	58	0	0	0	8	0
117	52	32	32	32	36	52	0	0	2	12	0
118	58	40	40	40	40	56	0	0	0	9	0
119	58	42	42	42	42	56	0	0	0	8	0
120	56	36	36	38	38	54	0	1	1	11	0
121	54	42	42	42	42	54	0	0	1	8	0
122	54	40	40	40	40	54	0	0	0	8	0
123	50	42	42	42	42	46	0	0	0	4	0
124	58	46	46	46	46	56	0	0	0	5	0
125	56	42	42	42	42	52	0	0	0	6	0
126	56	46	46	46	46	54	0	0	0	8	0
127	60	44	44	44	44	56	0	0	0	7	0
128	48	38	38	38	40	48	0	0	1	6	0
129	48	38	38	38	40	48	0	0	1	5	0
130	58	44	44	44	44	58	0	0	0	9	0
131	46	32	32	32	32	44	0	0	0	7	0
132	44	34	34	34	36	42	0	0	1	4	0
133	52	44	44	44	44	50	0	0	0	5	0
134	58	42	42	42	42	56	0	0	0	8	0
135	54	42	42	42	42	52	0	0	1	7	0
136	52	40	40	40	40	50	0	0	0	10	0
137	52	40	40	40	40	52	0	0	2	9	0
138	52	44	44	44	44	52	0	0	1	5	0
139	44	32	32	32	34	42	0	1	1	6	0
140	40	30	30	30	32	40	0	0	1	5	0
141	48	36	36	36	38	46	0	0	1	6	0
142	50	36	36	36	36	50	0	0	0	7	0
143	56	40	40	40	40	56	0	0	0	8	0
144	50	42	42	42	44	48	0	1	2	8	0
145	50	36	36	36	40	46	0	1	3	7	0
146	42	30	30	30	32	40	0	0	1	5	0
147	50	40	40	40	40	50	0	0	0	5	0
148	56	40	40	40	42	56	0	0	3	10	0
149	40	36	36	36	36	40	0	0	0	4	0
150	48	36	36	36	36	46	0	0	2	8	0
151	58	40	40	40	40	52	0	0	1	8	0
152	48	38	38	38	38	48	0	0	0	5	0
153	54	48	48	48	48	54	0	0	0	4	0
154	54	40	40	40	40	50	0	0	0	5	0
155	52	42	42	42	42	50	0	0	1	6	0
156	54	48	48	48	48	54	0	0	1	6	0
157	62	50	50	50	50	60	0	0	0	7	0
158	56	38	38	38	38	50	0	0	1	7	0
159	52	38	38	38	40	52	0	0	2	10	0
160	56	42	42	42	42	52	0	0	0	7	0
161	52	42	42	42	42	48	0	0	1	6	0
162	60	48	48	48	48	60	0	0	1	9	0
163	48	42	42	42	42	48	0	0	0	4	0
164	42	36	36	36	36	42	0	0	0	5	0
165	44	32	32	32	32	44	0	0	0	6	0
166	54	40	40	40	40	52	0	0	0	8	0
167	52	40	40	40	40	52	0	0	0	8	0
168	58	38	38	38	40	56	0	0	1	9	0
169	56	42	42	42	42	56	0	0	0	8	0
170	42	32	32	32	34	40	0	0	1	4	0
171	40	32	32	32	34	40	0	0	1	5	0
172	48	38	38	38	38	46	0	0	1	5	0
173	50	32	32	32	34	50	0	1	1	12	0
174	52	36	36	36	36	48	0	0	0	6	0
175	54	40	40	40	42	54	0	0	2	9	0
176	46	32	32	32	32	44	0	0	0	7	0
177	54	40	40	40	44	54	0	2	3	9	0
178	58	42	42	42	42	56	0	0	0	8	0
179	48	38	38	38	38	46	0	0	1	5	0
180	54	44	44	44	44	52	0	0	1	7	0
181	48	44	44	44	44	48	0	0	0	3	0
182	46	38	38	38	38	46	0	0	1	7	0
183	40	30	30	30	32	38	0	0	2	5	0
184	52	36	36	36	36	50	0	0	1	9	0
185	50	36	36	36	38	48	0	0	3	9	0
186	56	38	38	38	38	54	0	1	1	10	0
187	54	44	44	44	46	52	0	0	1	7	0
188	52	46	46	46	46	50	0	1	1	7	0
189	62	46	46	46	48	62	0	0	1	8	0
190	58	42	42	42	46	50	0	0	2	5	0
191	44	32	32	32	34	42	0	1	2	7	0
192	58	44	44	44	44	54	0	0	1	10	0
193	58	52	52	52	52	58	0	0	0	4	0
194	54	42	42	42	42	52	0	0	2	8	0
195	46	32	32	32	34	46	0	0	2	8	0
196	54	46	46	46	46	54	0	0	0	5	0
197	48	36	36	36	38	46	0	0	2	6	0
198	54	44	44	44	46	54	0	0	1	6	0
199	38	32	32	32	32	38	0	0	1	4	0
