image slide: 0x4b7c000
root-orbit-split: board is σ-symmetric; searching one representative per σ-orbit of the root's children
cWD: mmapping data/cwd_mm.bin…
cwd-lm2: mmapping data/cwd_lm_mm.bin…
cWD ready: fast single-line-max table path, neighbor-prune ON
flat engine: iterative arena, move-pruning DFA 41396 states, 687 KiB
parallel: tree-splitting driver on 8 rayon workers (RAYON_NUM_THREADS to change)
[13:12:20.052 UTC] search: start  (setup 1.44s)
    lm2joint[live]: consults 1235905 (+44197), misses 96876 (+1623), keys 96853, prunes 72973, fallbacks 13688
    lm2joint[live]: consults 1310713 (+74808), misses 98875 (+1999), keys 98852, prunes 77228, fallbacks 13948
    lm2joint[live]: consults 1362716 (+52003), misses 100597 (+1722), keys 100574, prunes 80035, fallbacks 14231
    lm2joint[live]: consults 1406911 (+44195), misses 102401 (+1804), keys 102378, prunes 82972, fallbacks 14481
    lm2joint[live]: consults 1444879 (+37968), misses 104042 (+1641), keys 104019, prunes 85281, fallbacks 14776
    lm2joint[live]: consults 1504027 (+59148), misses 106120 (+2078), keys 106097, prunes 88326, fallbacks 15048
    lm2joint[live]: consults 1581662 (+77635), misses 107878 (+1758), keys 107855, prunes 93982, fallbacks 15340
    lm2joint[live]: consults 1646080 (+64418), misses 109907 (+2029), keys 109884, prunes 96788, fallbacks 15587
    lm2joint[live]: consults 1741523 (+95443), misses 111840 (+1933), keys 111817, prunes 102834, fallbacks 15864
    lm2joint[live]: consults 1865648 (+124125), misses 113726 (+1886), keys 113703, prunes 111061, fallbacks 16095
    lm2joint[live]: consults 1936353 (+70705), misses 115610 (+1884), keys 115587, prunes 114889, fallbacks 16347
    lm2joint[live]: consults 2006340 (+69987), misses 117483 (+1873), keys 117460, prunes 119206, fallbacks 16636
    lm2joint[live]: consults 2088127 (+81787), misses 119324 (+1841), keys 119301, prunes 124380, fallbacks 16929
    lm2joint[live]: consults 2174485 (+86358), misses 121464 (+2140), keys 121441, prunes 128382, fallbacks 17174
    lm2joint[live]: consults 2302094 (+127609), misses 123645 (+2181), keys 123622, prunes 136873, fallbacks 17411
    lm2joint[live]: consults 2434363 (+132269), misses 125738 (+2093), keys 125715, prunes 143695, fallbacks 17684
    lm2joint[live]: consults 2594743 (+160380), misses 127683 (+1945), keys 127653, prunes 152010, fallbacks 17944
    lm2joint[live]: consults 2770798 (+176055), misses 129853 (+2170), keys 129823, prunes 161388, fallbacks 18163
