image slide: 0x429c000
root-orbit-split: board is σ-symmetric; searching one representative per σ-orbit of the root's children
cWD: mmapping data/cwd_mm.bin…
cwd-lm2: mmapping data/cwd_lm_mm.bin…
cWD ready: fast single-line-max table path, neighbor-prune ON
flat engine: iterative arena, move-pruning DFA 41396 states, 687 KiB
parallel: tree-splitting driver on 8 rayon workers (RAYON_NUM_THREADS to change)
[23:25:49.251 UTC] search: start  (setup 9.00s)
    lm2joint[live]: consults 35471187 (+1624043), misses 1153397 (+28347), keys 1499234, prunes 2119542, fallbacks 0
    lm2joint[live]: consults 37842017 (+2370830), misses 1186019 (+32622), keys 1531855, prunes 2276058, fallbacks 0
    lm2joint[live]: consults 39045185 (+1203168), misses 1212434 (+26415), keys 1558270, prunes 2335579, fallbacks 0
    lm2joint[live]: consults 40758824 (+1713639), misses 1235812 (+23378), keys 1581648, prunes 2460277, fallbacks 0
    lm2joint[live]: consults 41986720 (+1227896), misses 1259669 (+23857), keys 1605504, prunes 2532834, fallbacks 0
    lm2joint[live]: consults 42923631 (+936911), misses 1283686 (+24017), keys 1629522, prunes 2571614, fallbacks 0
    lm2joint[live]: consults 44336185 (+1412554), misses 1312700 (+29014), keys 1658535, prunes 2609754, fallbacks 0
    lm2joint[live]: consults 46027615 (+1691430), misses 1338932 (+26232), keys 1684767, prunes 2683592, fallbacks 0
    lm2joint[live]: consults 47726938 (+1699323), misses 1367347 (+28415), keys 1713182, prunes 2750789, fallbacks 0
    lm2joint[live]: consults 49253319 (+1526381), misses 1384649 (+17302), keys 1730484, prunes 2817899, fallbacks 0
    lm2joint[live]: consults 51647328 (+2394009), misses 1402627 (+17978), keys 1748462, prunes 2886577, fallbacks 0
    lm2joint[live]: consults 53669843 (+2022515), misses 1425146 (+22519), keys 1770981, prunes 3006126, fallbacks 0
    lm2joint[live]: consults 56074146 (+2404303), misses 1449073 (+23927), keys 1794907, prunes 3115593, fallbacks 0
    lm2joint[live]: consults 58676803 (+2602657), misses 1470554 (+21481), keys 1816388, prunes 3230466, fallbacks 0
    lm2joint[live]: consults 60272949 (+1596146), misses 1491127 (+20573), keys 1836961, prunes 3309354, fallbacks 0
    lm2joint[live]: consults 62695831 (+2422882), misses 1520786 (+29659), keys 1866621, prunes 3418582, fallbacks 0
    lm2joint[live]: consults 67632714 (+4936883), misses 1559137 (+38351), keys 1904971, prunes 3626555, fallbacks 0
    lm2joint[live]: consults 70409202 (+2776488), misses 1584643 (+25506), keys 1930473, prunes 3834071, fallbacks 0
    lm2joint[live]: consults 72422796 (+2013594), misses 1606860 (+22217), keys 1952688, prunes 3976818, fallbacks 0
    lm2joint[live]: consults 75748422 (+3325626), misses 1636020 (+29160), keys 1981849, prunes 4244193, fallbacks 0
    lm2joint[live]: consults 77800423 (+2052001), misses 1663297 (+27277), keys 2009125, prunes 4427944, fallbacks 0
    lm2joint[live]: consults 80002126 (+2201703), misses 1688395 (+25098), keys 2034223, prunes 4582700, fallbacks 0
    lm2joint[live]: consults 82302222 (+2300096), misses 1710907 (+22512), keys 2056735, prunes 4753436, fallbacks 0
    lm2joint[live]: consults 87237595 (+4935373), misses 1744691 (+33784), keys 2090519, prunes 5173325, fallbacks 0
    lm2joint[live]: consults 89648052 (+2410457), misses 1773416 (+28725), keys 2119244, prunes 5370284, fallbacks 0
    lm2joint[live]: consults 91923419 (+2275367), misses 1801576 (+28160), keys 2147404, prunes 5559686, fallbacks 0
    lm2joint[live]: consults 93488047 (+1564628), misses 1825330 (+23754), keys 2171160, prunes 5697065, fallbacks 0
    lm2joint[live]: consults 96800384 (+3312337), misses 1852447 (+27117), keys 2198273, prunes 5917610, fallbacks 0
    lm2joint[live]: consults 99388375 (+2587991), misses 1876268 (+23821), keys 2222093, prunes 6074581, fallbacks 0
    lm2joint[live]: consults 102533484 (+3145109), misses 1899496 (+23228), keys 2245321, prunes 6316057, fallbacks 0
