board	seed	len	d	cwd	slack	md	dem_tot	dem_ctr_w	dem_row	dem_col	mis_cnt	mis_mass	flow_row	flow_col	blank_r	blank_c	sec
0	4253632408367938005	110	60	46	14	44	2	1	0,1,0,0,1	0,0,0,0,0	21	28	4,6,7,5	6,6,5,5	2	2	0.15
1	15654347227691136489	110	70	52	18	48	2	2	1,0,1,0,0	0,0,0,0,0	23	37	4,4,4,7	8,9,7,5	3	1	22.39
2	8608317973304783359	110	66	42	24	38	3	4	0,0,0,0,0	0,1,1,1,0	17	28	4,6,8,8	4,2,3,3	4	2	350.84
3	1562288718918430227	110	56	44	12	38	2	1	1,0,0,1,0	0,0,0,0,0	20	34	2,6,7,5	8,4,4,2	2	4	0.19
4	12963003538241628713	110	64	48	16	48	0	0	0,0,0,0,0	0,0,0,0,0	24	38	4,6,7,7	5,9,5,5	2	0	0.67
5	5916974283855275581	110	74	58	16	52	2	2	0,0,0,2,0	0,0,0,0,0	22	37	8,6,2,4	7,11,7,7	4	0	615.90
6	17317689103178474067	110	58	46	12	44	0	0	0,0,0,0,0	0,0,0,0,0	23	36	8,6,6,3	6,1,9,5	3	1	0.18
7	10271659848792120935	110	70	50	20	48	1	0	1,0,0,0,0	0,0,0,0,0	24	38	6,4,4,5	8,6,8,7	3	3	372.27
8	3225630594405767805	110	62	46	16	42	3	2	0,0,0,1,1	0,0,0,1,0	21	33	6,6,7,3	4,6,5,5	2	2	7.67
9	14626345413728966289	110	66	50	16	42	2	0	0,0,0,0,0	2,0,0,0,0	22	36	6,3,5,9	2,6,8,3	1	3	18.69
10	7580316159342613159	110	58	48	10	44	1	0	1,0,0,0,0	0,0,0,0,0	23	33	6,4,5,9	6,6,1,7	2	2	0.25
11	534286904956260027	110	60	48	12	44	2	0	1,0,0,0,0	1,0,0,0,0	21	34	6,7,5,5	2,6,6,7	1	3	0.53
12	11935001724279458513	110	60	46	14	42	3	4	0,1,0,0,0	0,0,1,1,0	21	36	5,5,5,7	4,6,3,7	0	2	1.80
13	4888972469893105381	110	70	48	22	48	0	0	0,0,0,0,0	0,0,0,0,0	21	35	5,9,7,3	6,6,5,7	0	2	391.43
14	16289687289216303867	110	64	50	14	48	1	0	1,0,0,0,0	0,0,0,0,0	22	35	4,5,7,3	6,9,9,5	1	1	2.58
15	9243658034829950735	110	64	46	18	44	1	0	0,0,0,0,0	0,0,0,0,1	23	38	8,5,5,7	6,5,5,3	1	1	5.61
16	2197628780443597605	110	74	56	18	52	2	1	0,0,0,1,1	0,0,0,0,0	22	35	6,6,7,5	7,7,7,7	2	0	760.67
17	13598343599766796089	110	70	50	20	46	2	0	2,0,0,0,0	0,0,0,0,0	24	40	2,6,6,6	9,7,7,3	4	0	204.49
18	6552314345380442959	110	56	36	20	36	0	0	0,0,0,0,0	0,0,0,0,0	17	30	4,6,7,5	6,4,2,2	2	4	10.55
19	17953029164703641443	110	62	48	14	46	1	0	1,0,0,0,0	0,0,0,0,0	21	37	3,9,7,5	6,6,4,6	0	4	1.37
20	10906999910317288313	110	62	44	18	42	0	0	0,0,0,0,0	0,0,0,0,0	22	38	4,6,4,6	4,6,8,4	4	4	5.20
21	3860970655930935181	110	62	52	10	52	0	0	0,0,0,0,0	0,0,0,0,0	24	38	8,6,6,7	6,8,6,5	3	3	0.26
22	15261685475254133667	110	68	48	20	46	2	3	0,0,1,1,0	0,0,0,0,0	23	37	8,2,4,6	6,8,7,5	4	2	70.45
23	8215656220867780535	110	54	36	18	34	1	0	0,0,0,0,1	0,0,0,0,0	21	35	4,6,3,3	5,3,5,5	2	0	4.36
24	1169626966481427405	110	54	40	14	36	3	2	1,1,0,0,0	0,0,0,1,0	21	33	2,4,6,6	4,6,4,4	4	4	0.07
25	12570341785804625889	110	58	42	16	40	0	0	0,0,0,0,0	0,0,0,0,0	19	31	4,4,8,9	6,2,4,3	3	3	4.25
26	5524312531418272759	110	50	44	6	42	1	2	0,0,0,0,0	0,0,1,0,0	23	34	6,6,5,3	5,5,5,7	2	0	0.00
