board	seed	len	d	cwd	slack	md	dem_tot	dem_ctr_w	dem_row	dem_col	mis_cnt	mis_mass	flow_row	flow_col	blank_r	blank_c	sec
27	16925027350741471243	110	52	46	6	42	1	0	0,0,0,0,0	1,0,0,0,0	21	36	6,8,5,3	4,4,8,4	2	4	0.00
28	9878998096355118113	110	50	36	14	34	1	0	1,0,0,0,0	0,0,0,0,0	18	29	4,3,5,3	4,3,7,5	1	1	0.12
29	2832968841968764981	110	52	38	14	36	2	3	0,1,1,0,0	0,0,0,0,0	19	34	4,3,5,3	2,7,7,5	1	1	0.45
30	14233683661291963467	110	78	62	16	60	2	2	1,0,1,0,0	0,0,0,0,0	24	36	6,8,7,7	8,6,9,9	2	2	387.48
31	7187654406905610335	110	54	44	10	40	2	2	0,0,0,0,0	0,0,1,0,1	21	37	2,7,5,7	4,6,4,5	1	3	0.05
32	141625152519257205	110	68	54	14	50	2	0	1,0,0,0,0	1,0,0,0,0	24	38	6,6,8,7	4,6,8,5	3	3	5.57
33	11542339971842455689	110	72	54	18	52	1	0	1,0,0,0,0	0,0,0,0,0	24	38	4,8,4,7	6,8,8,7	3	3	200.74
34	4496310717456102559	110	64	50	14	50	0	0	0,0,0,0,0	0,0,0,0,0	23	35	6,6,6,7	6,6,6,7	3	3	0.79
35	15897025536779301043	110	58	42	16	38	1	0	1,0,0,0,0	0,0,0,0,0	21	33	2,5,7,3	4,5,5,7	1	1	0.96
36	8850996282392947913	110	62	48	14	38	3	1	1,0,0,0,0	1,0,0,1,0	19	33	4,8,3,5	2,4,6,6	2	4	2.01
37	1804967028006594781	110	64	44	20	40	2	2	0,1,0,0,0	0,1,0,0,0	20	32	4,2,6,7	4,6,4,7	3	3	65.02
38	13205681847329793267	110	74	56	18	54	1	2	0,0,1,0,0	0,0,0,0,0	24	38	6,8,6,5	6,10,6,7	3	3	217.75
39	6159652592943440135	110	80	60	20	58	2	2	1,0,1,0,0	0,0,0,0,0	20	32	4,8,9,7	6,8,8,8	2	4	49.05
40	17560367412266638621	110	64	56	8	54	1	1	0,0,0,1,0	0,0,0,0,0	23	36	10,7,5,3	6,6,8,9	1	3	0.34
41	10514338157880285489	110	64	52	12	46	3	1	0,1,0,0,0	0,0,0,0,2	24	38	2,6,10,6	6,8,5,3	4	2	6.85
42	3468308903493932359	110	60	44	16	42	1	1	0,0,0,0,0	0,1,0,0,0	20	33	6,8,6,3	6,4,6,3	3	3	0.63
43	14869023722817130843	110	70	46	24	46	0	0	0,0,0,0,0	0,0,0,0,0	20	31	5,5,5,5	8,6,5,7	0	2	357.53
44	7822994468430777713	110	68	50	18	48	1	0	0,0,0,0,1	0,0,0,0,0	22	32	8,6,6,2	8,4,7,7	4	2	5.35
45	776965214044424581	110	64	44	20	42	2	0	0,0,0,0,0	1,0,0,0,1	21	34	7,7,5,5	4,4,6,4	0	4	21.92
46	12177680033367623067	110	70	50	20	48	1	0	0,0,0,0,0	1,0,0,0,0	20	37	3,7,7,5	4,8,8,6	0	4	46.50
47	5131650778981269935	110	62	52	10	44	2	1	0,0,0,0,0	0,1,0,0,1	22	33	10,4,7,5	6,2,8,2	2	4	2.13
48	16532365598304468421	110	74	60	14	54	3	2	0,0,0,1,0	0,0,0,1,1	22	39	8,8,6,4	6,8,10,4	4	4	12.50
49	9486336343918115289	110	50	40	10	36	0	0	0,0,0,0,0	0,0,0,0,0	19	32	4,3,5,5	6,5,7,1	1	1	0.03
