board	seed	len	d	v	h	wd_r	wd_c	cwd	slack	fv	fc	rt_v	rt_c	rt_home	rt_far	rt_blank	dem_tot	rtb_v	rtb_c	ph	sec
58	15918907826258998727	90	66	34	32	28	24	52	14	28	24	3	4	5	2	29	0	0,1,1,1	0,2,1,1	2,7,5	3.36
59	8872878571872645595	90	58	30	28	18	22	42	16	18	18	6	5	9	2	27	2	0,1,2,3	0,2,2,1	7,6,9	1.60
60	1826849317486292465	90	54	23	31	17	23	42	12	17	23	3	4	5	2	25	1	2,0,0,1	0,2,2,0	5,5,4	0.24
61	13227564136809490949	90	62	34	28	18	24	44	18	16	24	9	2	9	2	27	1	3,1,3,2	0,0,2,0	6,10,6	9.99
62	6181534882423137819	90	44	21	23	15	19	36	8	15	19	3	2	5	0	21	1	0,1,1,1	0,0,1,1	5,2,3	0.00
63	17582249701746336303	90	56	28	28	18	22	44	12	18	22	5	3	7	1	26	2	3,1,0,1	0,3,0,0	6,5,5	0.21
64	10536220447359983173	90	60	30	30	20	22	44	16	20	20	5	5	8	2	29	2	0,1,3,1	1,0,1,3	8,5,7	1.51
65	3490191192973630041	90	62	29	33	21	19	42	20	21	19	4	7	9	2	29	1	0,1,0,3	1,1,3,2	6,9,7	13.89
66	14890906012296828527	90	60	30	30	24	20	48	12	22	18	4	6	9	1	29	4	0,1,0,3	1,2,2,1	7,5,8	0.36
67	7844876757910475395	90	60	32	28	18	22	42	18	18	22	7	3	10	0	29	1	0,2,4,1	0,0,2,1	3,6,11	9.36
68	798847503524122265	90	60	32	28	22	18	40	20	20	18	6	5	11	0	28	0	1,2,1,2	2,1,1,1	9,4,9	1.10
69	12199562322847320749	90	52	27	25	19	15	36	16	19	15	4	5	9	0	25	1	2,1,1,0	1,1,2,1	7,3,8	0.71
70	5153533068460967619	90	66	32	34	22	20	46	20	22	20	5	7	12	0	31	3	1,0,2,2	2,1,2,2	6,10,8	50.57
71	16554247887784166103	90	70	37	33	27	23	52	18	27	23	5	5	9	1	32	1	1,0,2,2	1,2,0,2	8,5,7	237.10
72	9508218633397812973	90	62	26	36	20	26	48	14	20	26	3	5	7	1	28	1	1,1,0,1	1,1,1,2	4,6,6	2.82
73	2462189379011459841	90	52	28	24	18	20	38	14	18	20	5	2	6	1	24	0	1,2,2,0	0,1,0,1	4,6,4	0.06
74	13862904198334658327	90	64	31	33	21	25	50	14	21	25	5	4	8	1	30	2	1,1,2,1	2,0,0,2	7,5,6	9.15
75	6816874943948305195	90	50	25	25	19	19	40	10	19	19	3	3	6	0	22	1	0,3,0,0	0,2,0,1	3,4,5	0.03
76	18217589763271503681	90	68	30	38	24	28	54	14	22	24	4	7	10	1	31	2	1,0,2,1	0,2,1,4	8,5,9	6.96
77	11171560508885150549	90	62	28	34	18	28	48	14	18	28	5	3	7	1	29	2	0,2,2,1	0,1,1,1	5,4,7	1.11
78	4125531254498797419	90	60	32	28	22	22	48	12	20	22	6	3	9	0	28	2	2,2,0,2	1,1,1,0	6,5,7	0.41
79	15526246073821995903	90	50	27	23	19	17	36	14	19	17	4	3	7	0	22	0	0,1,2,1	0,1,1,1	2,4,8	0.14
80	8480216819435642773	90	66	36	30	28	14	46	20	28	12	4	9	12	1	31	5	1,1,1,1	1,2,3,3	7,8,11	87.36
81	1434187565049289641	90	52	26	26	18	18	38	14	18	14	4	6	9	1	26	3	0,2,1,1	0,3,3,0	10,5,5	0.45
82	12834902384372488127	90	58	32	26	22	20	46	12	22	18	5	4	7	2	25	3	3,2,0,0	2,0,1,1	9,2,7	0.55
83	5788873129986134995	90	58	34	24	26	18	44	14	24	18	5	3	7	1	29	0	1,0,2,2	1,1,1,0	9,3,4	0.92
84	17189587949309333481	90	74	38	36	30	24	54	20	30	22	4	7	10	1	37	0	0,2,1,1	1,1,4,1	8,6,8	546.71
85	10143558694922980349	90	68	36	32	22	20	46	22	22	20	7	6	11	2	32	2	2,0,3,2	4,0,2,0	6,9,11	132.95
86	3097529440536627219	90	66	30	36	22	30	54	12	20	28	5	4	7	2	33	1	2,1,1,1	0,0,2,2	6,5,7	0.83
87	14498244259859825703	90	60	26	34	18	26	46	14	18	20	4	7	10	1	28	3	1,0,0,3	2,1,2,2	8,6,8	0.23
88	7452215005473472573	90	60	33	27	23	19	44	16	23	19	5	4	9	0	28	1	0,2,2,1	1,1,2,0	5,3,10	4.83
89	406185751087119441	90	52	26	26	20	20	40	12	18	20	4	3	7	0	23	1	0,2,1,1	1,0,2,0	6,3,5	0.09
90	11806900570410317927	90	54	28	26	22	16	40	14	20	16	4	5	8	1	25	2	1,1,1,1	2,1,0,2	9,6,3	1.35
91	4760871316023964795	90	62	29	33	25	25	50	12	25	25	2	4	5	1	29	0	0,1,0,1	0,3,1,0	1,6,5	1.29
92	16161586135347163281	90	56	31	25	21	21	44	12	21	21	5	2	7	0	27	1	1,2,2,0	2,0,0,0	5,5,4	0.03
