board	seed	len	d	v	h	wd_r	wd_c	cwd	slack	fv	fc	rt_v	rt_c	rt_home	rt_far	rt_blank	dem_tot	rtb_v	rtb_c	ph	sec
19	6653367501949350309	70	56	26	30	14	18	36	20	12	18	7	6	12	1	27	2	0,2,4,1	2,2,2,0	9,8,9	8.37
20	18054082321272548793	70	48	19	29	17	19	38	10	17	19	1	5	5	1	23	1	0,0,1,0	0,1,2,2	2,4,6	0.03
21	11008053066886195663	70	56	29	27	19	17	40	16	17	17	6	5	10	1	27	2	2,2,2,0	0,1,3,1	7,6,9	1.68
22	3962023812499842531	70	56	28	28	20	20	42	14	18	18	5	5	8	2	28	1	1,1,2,1	1,2,1,1	7,5,8	0.47
23	15362738631823041017	70	46	25	21	15	13	30	16	15	13	5	4	9	0	20	1	2,2,1,0	2,0,0,2	7,6,5	0.14
24	8316709377436687885	70	60	31	29	23	23	46	14	23	23	4	3	7	0	27	0	0,1,2,1	0,3,0,0	5,5,4	1.55
25	1270680123050334755	70	50	23	27	19	25	44	6	19	25	2	1	3	0	22	0	0,1,0,1	0,1,0,0	1,4,1	0.00
26	12671394942373533239	70	34	17	17	17	15	34	0	17	13	0	2	2	0	15	1	0,0,0,0	1,0,1,0	0,2,2	0.00
27	5625365687987180109	70	56	29	27	17	21	42	14	17	19	6	4	8	2	25	3	1,2,2,1	0,1,1,2	5,8,7	2.97
28	17026080507310378593	70	54	29	25	15	19	38	16	13	19	8	3	10	1	26	4	2,1,3,2	0,0,2,1	9,7,6	1.52
29	9980051252924025463	70	52	26	26	20	16	38	14	18	14	4	6	9	1	25	3	1,1,1,1	0,1,4,1	10,5,5	0.16
30	2934021998537672331	70	44	24	20	16	16	34	10	12	16	6	2	7	1	18	2	1,1,2,2	0,1,0,1	6,5,5	0.01
31	14334736817860870817	70	58	31	27	23	25	52	6	23	23	4	2	6	0	27	2	2,0,0,2	0,1,0,1	4,1,7	0.01
32	7288707563474517685	70	54	29	25	19	17	38	16	19	17	5	4	8	1	26	1	0,1,2,2	2,0,1,1	6,6,6	0.55
33	242678309088164555	70	56	30	26	22	18	42	14	22	16	4	5	8	1	27	1	0,0,3,1	0,1,3,1	9,4,5	1.33
34	11643393128411363039	70	62	32	30	20	18	42	20	20	18	6	6	9	3	30	2	1,1,2,2	1,1,3,1	5,10,9	44.25
35	4597363874025009909	70	42	20	22	18	14	32	10	14	14	3	4	7	0	17	0	0,1,2,0	2,2,0,0	5,4,5	0.00
36	15998078693348208393	70	56	34	22	22	16	40	16	22	16	6	3	9	0	27	2	1,3,1,1	0,1,0,2	3,7,8	0.37
37	8952049438961855263	70	56	30	26	22	14	38	18	20	14	5	6	11	0	25	1	0,2,1,2	1,2,2,1	8,6,8	10.19
38	1906020184575502131	70	52	26	26	18	22	40	12	14	20	6	3	9	0	26	0	0,2,3,1	0,1,2,0	7,5,6	0.18
39	13306735003898700617	70	56	26	30	20	24	44	12	20	22	3	4	4	3	26	0	2,1,0,0	0,2,2,0	5,5,4	0.29
40	6260705749512347485	70	54	29	25	19	23	44	10	19	23	5	1	6	0	25	2	2,1,1,1	0,0,1,0	3,5,4	0.01
41	17661420568835545971	70	52	26	26	18	18	38	14	18	18	4	4	7	1	24	1	2,0,1,1	1,1,1,1	11,2,3	0.90
42	10615391314449192839	70	40	19	21	15	17	34	6	15	17	2	2	4	0	18	1	0,1,1,0	1,0,1,0	2,4,2	0.00
43	3569362060062839709	70	52	28	24	18	14	34	18	18	12	5	6	11	0	24	2	1,3,1,0	1,0,2,3	7,6,9	0.45
44	14970076879386038193	70	64	34	30	22	24	50	14	20	24	7	3	9	1	32	4	2,2,0,3	1,2,0,0	9,7,4	7.27
45	7924047624999685063	70	44	21	23	17	19	36	8	15	19	3	2	5	0	19	1	0,1,2,0	0,1,1,0	2,3,5	0.00
46	878018370613331931	70	46	22	24	20	18	40	6	20	14	1	5	5	1	23	2	0,0,0,1	2,0,1,2	3,5,4	0.00
47	12278733189936530417	70	60	31	29	21	21	44	16	21	21	5	4	8	1	29	1	0,1,1,3	0,1,2,1	6,4,8	1.89
48	5232703935550177285	70	50	26	24	22	22	44	6	22	22	2	1	3	0	23	0	0,0,2,0	0,0,1,0	2,2,2	0.00
49	16633418754873375771	70	48	27	21	23	13	40	8	21	13	3	4	7	0	22	2	0,1,0,2	0,0,3,1	3,5,6	0.01
50	9587389500487022639	70	52	27	25	23	19	42	10	21	19	3	3	6	0	23	0	0,2,0,1	0,0,1,2	2,5,5	0.06
51	2541360246100669509	70	46	19	27	13	23	40	6	11	23	4	2	6	0	20	3	0,1,1,2	1,1,0,0	4,4,4	0.00
52	13942075065423867993	70	36	17	19	15	11	28	8	15	11	1	4	5	0	16	2	0,1,0,0	0,0,2,2	4,4,2	0.00
53	6896045811037514863	70	48	24	24	16	18	34	14	16	18	4	3	6	1	20	0	0,2,2,0	0,1,2,0	6,4,4	0.06
54	18296760630360713347	70	56	31	25	25	15	42	14	25	15	3	5	8	0	26	1	1,0,1,1	4,0,1,0	5,10,1	0.41
55	11250731375974360217	70	48	23	25	13	17	30	18	13	17	5	4	9	0	22	0	1,2,1,1	2,0,0,2	3,6,9	1.13
56	4204702121588007085	70	46	26	20	18	14	32	14	16	12	5	4	8	1	22	1	0,2,2,1	0,0,2,2	9,6,3	0.06
57	15605416940911205571	70	58	31	27	15	25	42	16	13	25	9	1	10	0	27	3	2,2,2,3	1,0,0,0	8,8,4	0.57
58	8559387686524852439	70	56	28	28	18	24	44	12	18	22	5	3	8	0	27	2	0,0,3,2	0,2,1,0	6,6,4	0.19
59	1513358432138499309	70	50	22	28	14	20	36	14	10	20	6	4	9	1	23	2	2,2,1,1	0,1,2,1	7,6,7	0.07
60	12914073251461697793	70	54	28	26	18	22	44	10	18	22	5	2	7	0	25	3	0,1,1,3	0,0,1,1	5,2,7	0.06
61	5868043997075344663	70	44	22	22	18	20	38	6	18	20	2	1	2	1	18	0	0,2,0,0	1,0,0,0	3,2,1	0.00
62	17268758816398543147	70	46	24	22	20	18	38	8	18	16	3	3	6	0	20	0	0,1,0,2	1,0,1,1	4,3,5	0.00
63	10222729562012190017	70	44	25	19	19	15	34	10	19	15	3	2	4	1	19	0	0,2,1,0	0,1,0,1	2,4,4	0.00
64	3176700307625836885	70	54	26	28	22	22	44	10	22	16	2	6	6	2	24	1	2,0,0,0	2,2,1,1	8,6,2	0.09
65	14577415126949035371	70	52	25	27	17	17	38	14	17	17	4	5	9	0	23	3	0,2,1,1	1,2,2,0	7,4,7	0.84
66	7531385872562682239	70	62	32	30	26	16	44	18	26	16	3	7	8	2	30	1	0,1,2,0	2,1,2,2	8,6,6	15.48
67	485356618176329109	70	52	27	25	21	21	44	8	19	19	4	3	6	1	25	2	2,1,1,0	0,0,2,1	2,6,6	0.03
68	11886071437499527593	70	56	25	31	17	21	40	16	17	21	4	5	9	0	26	1	2,1,0,1	0,2,2,1	6,5,7	2.38
69	4840042183113174463	70	54	23	31	15	21	38	16	15	19	4	6	9	1	25	1	1,1,1,1	1,4,1,0	8,6,6	0.67
70	16240757002436372947	70	60	30	30	24	22	48	12	22	22	4	4	7	1	29	1	1,3,0,0	2,1,0,1	4,6,6	0.54
71	9194727748050019817	70	44	25	19	17	11	30	14	17	11	4	4	7	1	21	2	0,2,1,1	1,1,2,0	7,3,6	0.01
72	2148698493663666685	70	40	22	18	16	18	34	6	16	18	3	0	3	0	19	0	1,0,2,0	0,0,0,0	1,2,3	0.00
73	13549413312986865171	70	46	24	22	18	14	34	12	18	14	3	4	7	0	22	1	0,2,0,1	0,0,2,2	2,3,9	0.01
74	6503384058600512039	70	58	25	33	13	21	36	22	13	19	6	7	13	0	27	1	2,2,2,0	1,3,2,1	9,9,8	11.89
75	17904098877923710525	70	48	24	24	16	22	40	8	16	22	4	1	5	0	23	1	1,0,3,0	0,1,0,0	2,3,5	0.01
76	10858069623537357393	70	62	27	35	21	27	48	14	21	25	3	5	7	1	29	0	0,0,2,1	3,2,0,0	7,3,6	0.59
77	3812040369151004263	70	46	23	23	17	17	36	10	17	17	3	3	6	0	20	1	0,2,0,1	0,1,1,1	7,0,5	0.01
78	15212755188474202747	70	54	28	26	16	22	38	16	16	22	6	2	8	0	24	0	1,1,2,2	0,1,1,0	5,6,5	0.33
79	8166725934087849617	70	50	26	24	22	18	40	10	22	18	2	3	4	1	24	0	0,0,1,1	0,3,0,0	5,3,2	0.02
80	1120696679701496485	70	50	26	24	16	20	36	14	14	20	6	2	8	0	22	1	1,1,2,2	1,0,1,0	5,6,5	0.08
81	12521411499024694971	70	58	30	28	26	16	44	14	24	16	3	6	7	2	26	2	1,1,0,1	0,0,3,3	7,5,6	0.60
82	5475382244638341839	70	46	24	22	16	16	34	12	16	16	4	3	6	1	21	1	1,2,1,0	0,2,1,0	7,2,5	0.01
83	16876097063961540325	70	62	32	30	18	24	44	18	18	24	7	3	8	2	29	2	1,2,0,4	1,1,1,0	6,7,7	3.94
84	9830067809575187193	70	50	23	27	19	21	40	10	19	21	2	3	4	1	23	0	0,1,1,0	1,1,1,0	6,2,2	0.04
85	2784038555188834063	70	62	31	31	25	19	48	14	23	19	4	6	10	0	28	2	0,0,1,3	2,1,2,1	6,8,6	4.18
86	14184753374512032547	70	66	34	32	20	26	48	18	18	26	8	3	9	2	31	2	3,2,1,2	0,1,0,2	7,8,7	37.20
87	7138724120125679417	70	58	30	28	22	20	42	16	20	18	5	5	7	3	26	1	1,2,2,0	2,3,0,0	7,10,3	1.68
88	92694865739326285	70	46	22	24	16	16	36	10	16	16	3	4	7	0	20	2	0,1,1,1	0,1,2,1	3,4,7	0.01
89	11493409685062524771	70	54	28	26	24	18	44	10	24	18	2	4	5	1	26	2	0,1,1,0	1,3,0,0	1,6,5	0.02
90	4447380430676171639	70	58	29	29	25	23	52	6	25	23	2	3	5	0	27	2	2,0,0,0	1,1,0,1	4,2,4	0.01
91	15848095249999370125	70	38	17	21	13	15	28	10	13	15	2	3	5	0	17	0	0,0,2,0	0,0,1,2	2,3,5	0.00
92	8802065995613016993	70	54	28	26	24	14	40	14	24	14	2	6	7	1	25	1	0,0,1,1	2,2,2,0	5,5,6	0.55
93	1756036741226663863	70	56	28	28	24	20	44	12	24	18	2	5	6	1	27	1	1,1,0,0	0,1,1,3	4,5,5	0.08
94	13156751560549862347	70	48	26	22	18	14	34	14	18	14	4	4	8	0	21	2	0,2,1,1	0,2,1,1	3,6,7	0.03
95	6110722306163509217	70	48	28	20	20	12	32	16	18	12	5	4	7	2	21	0	1,2,1,1	0,3,1,0	5,7,6	0.38
96	17511437125486707701	70	56	34	22	24	22	46	10	22	18	6	2	7	1	28	0	1,0,2,3	0,1,0,1	6,3,7	0.05
97	10465407871100354571	70	52	24	28	18	22	40	12	16	22	4	3	6	1	24	0	0,1,2,1	1,1,1,0	4,7,3	0.02
98	3419378616714001439	70	36	16	20	14	14	30	6	14	14	1	3	4	0	17	1	0,0,1,0	0,0,2,1	3,3,2	0.00
99	14820093436037199925	70	44	22	22	14	16	30	14	12	16	5	3	8	0	19	1	2,1,2,0	0,1,1,1	7,7,2	0.01
100	7774064181650846793	70	46	24	22	16	22	38	8	16	22	4	0	3	1	20	0	0,4,0,0	0,0,0,0	3,2,3	0.00
101	728034927264493663	70	42	20	22	14	14	30	12	12	12	4	5	7	2	19	1	0,2,1,1	1,1,1,2	7,5,6	0.04
102	12128749746587692147	70	34	18	16	14	14	28	6	14	14	2	1	3	0	15	0	2,0,0,0	0,1,0,0	2,3,1	0.00
103	5082720492201339017	70	56	32	24	20	20	42	14	18	20	7	2	9	0	25	1	1,2,2,2	0,0,1,1	2,5,11	0.68
104	16483435311524537501	70	54	24	30	18	22	42	12	18	22	3	4	7	0	25	1	0,1,1,1	1,0,1,2	6,3,5	0.17
105	9437406057138184371	70	58	26	32	20	22	44	14	20	22	3	5	8	0	26	1	1,0,1,1	1,1,3,0	5,5,6	2.40
106	2391376802751831239	70	52	27	25	17	17	38	14	17	17	5	4	6	3	24	2	0,1,4,0	1,0,2,1	9,3,6	0.14
107	13792091622075029725	70	52	31	21	25	19	46	6	25	19	3	1	4	0	23	2	1,2,0,0	0,1,0,0	5,1,2	0.00
108	6746062367688676593	70	60	30	30	20	22	44	16	20	22	5	4	8	1	28	1	0,1,1,3	2,0,1,1	6,4,8	1.16
109	18146777187011875079	70	62	30	32	24	18	44	18	24	16	3	8	9	2	29	2	1,0,0,2	0,1,3,4	11,4,7	24.52
110	11100747932625521947	70	40	22	18	20	14	34	6	18	14	2	2	4	0	19	0	0,1,1,0	0,0,1,1	2,3,3	0.00
111	4054718678239168817	70	44	22	22	18	18	36	8	18	18	2	2	3	1	20	0	0,2,0,0	0,0,1,1	5,1,2	0.00
112	15455433497562367301	70	54	29	25	21	19	42	12	21	19	4	3	6	1	25	1	0,3,0,1	0,0,1,2	4,5,5	0.06
113	8409404243176014171	70	60	27	33	23	25	48	12	23	25	2	4	6	0	28	0	1,0,0,1	0,1,1,2	3,3,6	0.48
114	1363374988789661039	70	46	24	22	18	18	38	8	18	18	3	2	5	0	19	1	0,1,2,0	1,1,0,0	3,2,5	0.00
115	12764089808112859525	70	44	25	19	21	17	38	6	19	17	3	1	3	1	20	0	1,2,0,0	0,1,0,0	2,4,2	0.01
116	5718060553726506393	70	60	30	30	22	24	48	12	20	22	5	4	8	1	30	1	0,3,2,0	0,3,1,0	4,7,7	1.70
117	17118775373049704879	70	52	30	22	18	10	30	22	18	10	6	6	12	0	24	2	1,2,0,3	2,1,1,2	9,6,9	4.85
118	10072746118663351747	70	58	32	26	18	20	40	18	18	20	7	3	9	1	28	1	2,2,3,0	1,1,0,1	6,6,8	6.32
119	3026716864276998617	70	58	30	28	18	22	42	16	18	22	6	3	8	1	27	1	2,3,1,0	0,1,2,0	5,6,7	0.92
120	14427431683600197101	70	56	30	26	22	12	36	20	22	10	4	8	11	1	25	1	0,2,0,2	2,3,2,1	8,9,7	18.48
121	7381402429213843971	70	54	30	24	20	20	42	12	18	20	6	2	8	0	24	2	3,1,1,1	0,1,1,0	4,4,8	0.11
122	335373174827490839	70	54	26	28	16	22	40	14	16	22	5	3	8	0	24	1	0,1,2,2	0,3,0,0	5,3,8	0.74
123	11736087994150689325	70	50	26	24	20	20	42	8	20	18	3	3	4	2	21	1	2,0,0,1	1,1,0,1	5,2,5	0.02
124	4690058739764336193	70	58	30	28	24	22	46	12	24	22	3	3	5	1	27	0	0,1,1,1	1,2,0,0	3,2,7	0.50
125	16090773559087534679	70	56	30	26	20	22	42	14	20	20	5	3	6	2	26	0	0,2,3,0	1,1,0,1	7,4,5	0.11
126	9044744304701181547	70	56	31	25	21	17	42	14	21	17	5	4	8	1	27	4	2,2,0,1	1,0,2,1	6,9,3	0.20
127	1998715050314828417	70	60	30	30	20	24	44	16	20	22	5	4	7	2	28	0	1,1,1,2	1,0,2,1	7,6,5	2.93
128	13399429869638026901	70	48	23	25	15	21	38	10	15	19	4	3	6	1	22	1	0,2,1,1	0,1,1,1	4,5,5	0.03
129	6353400615251673771	70	48	25	23	23	15	38	10	23	15	1	4	5	0	21	0	0,0,1,0	0,2,1,1	1,4,5	0.05
130	17754115434574872255	70	58	31	27	23	17	42	16	23	17	4	5	9	0	28	2	0,1,1,2	1,1,1,2	5,4,9	1.41
131	10708086180188519125	70	46	24	22	16	14	32	14	16	14	4	4	7	1	20	1	1,1,0,2	0,1,1,2	4,6,6	0.02
132	3662056925802165993	70	44	23	21	17	17	34	10	17	17	3	2	4	1	21	0	1,2,0,0	1,1,0,0	4,4,2	0.01
133	15062771745125364479	70	52	29	23	23	19	44	8	21	19	4	2	5	1	24	1	1,0,1,2	1,1,0,0	5,3,4	0.04
134	8016742490739011347	70	58	32	26	22	20	42	16	20	20	6	3	8	1	27	0	1,3,1,1	1,1,0,1	6,5,7	0.12
135	970713236352658217	70	54	30	24	20	20	42	12	18	20	6	2	7	1	25	2	1,1,1,3	0,0,0,2	5,5,6	0.13
136	12371428055675856701	70	52	27	25	13	19	38	14	11	19	8	3	10	1	24	4	4,1,3,0	0,1,1,1	6,8,8	0.43
137	5325398801289503571	70	52	26	26	16	20	38	14	14	20	6	3	9	0	24	2	1,2,2,1	0,2,1,0	6,5,7	0.09
138	16726113620612702055	70	52	29	23	19	23	44	8	19	23	5	0	5	0	24	1	2,2,0,1	0,0,0,0	4,4,2	0.00
139	9680084366226348925	70	44	21	23	15	17	32	12	13	17	4	3	6	1	20	0	0,3,1,0	1,1,0,1	6,5,3	0.06
140	2634055111839995793	70	40	20	20	16	14	30	10	16	14	2	3	5	0	17	0	0,1,1,0	0,1,2,0	2,4,4	0.01
141	14034769931163194279	70	48	27	21	19	17	36	12	17	17	5	2	6	1	23	0	0,2,2,1	1,0,0,1	3,7,4	0.10
142	6988740676776841147	70	50	24	26	22	14	36	14	22	14	1	6	7	0	23	0	0,0,1,0	2,1,3,0	3,5,6	0.17
143	18389455496100039633	70	56	30	26	24	16	40	16	24	16	3	5	8	0	24	0	1,1,1,0	1,2,0,2	6,4,6	1.94
144	11343426241713686501	70	50	26	24	18	18	40	10	16	16	5	4	8	1	22	4	1,2,0,2	2,1,0,1	4,7,7	0.01
145	4297396987327333371	70	50	24	26	18	18	36	14	16	16	4	5	7	2	21	0	1,1,1,1	1,2,2,0	5,6,7	0.10
146	15698111806650531855	70	42	21	21	15	15	30	12	15	15	3	3	5	1	18	0	0,1,1,1	0,1,2,0	5,3,4	0.01
147	8652082552264178725	70	50	24	26	18	22	40	10	18	22	3	2	5	0	23	0	0,1,1,1	0,0,2,0	5,2,3	0.03
148	1606053297877825593	70	56	32	24	22	18	40	16	22	14	5	5	10	0	27	1	1,2,2,0	1,1,2,1	6,7,7	2.60
149	13006768117201024079	70	40	19	21	13	19	34	6	13	19	3	1	4	0	17	2	0,0,2,1	1,0,0,0	2,2,4	0.00
150	5960738862814670947	70	48	25	23	17	13	32	16	17	13	4	5	8	1	22	3	0,0,4,0	2,1,1,1	6,5,7	0.36
151	17361453682137869433	70	58	26	32	20	20	40	18	18	18	4	7	8	3	29	0	0,2,1,1	0,1,5,1	11,4,7	3.87
152	10315424427751516301	70	48	25	23	19	19	38	10	19	19	3	2	5	0	23	0	1,1,1,0	0,1,1,0	2,5,3	0.02
153	3269395173365163171	70	54	27	27	23	25	48	6	23	23	2	2	4	0	25	0	1,0,0,1	1,0,0,1	3,1,4	0.02
154	14670109992688361655	70	54	30	24	22	18	40	14	22	18	4	3	5	2	25	0	1,0,2,1	1,0,0,2	5,4,5	0.24
155	7624080738302008525	70	52	28	24	20	18	42	10	20	18	4	3	6	1	24	2	0,1,3,0	1,2,0,0	6,2,6	0.05
156	578051483915655393	70	54	32	22	26	16	44	10	26	16	3	3	6	0	24	3	0,0,2,1	1,1,1,0	3,3,6	0.02
157	11978766303238853879	70	62	31	31	25	21	50	12	25	21	3	5	7	1	29	2	1,0,0,2	2,1,2,0	6,7,3	0.61
158	4932737048852500747	70	56	28	28	14	22	38	18	14	22	7	3	7	3	25	1	1,2,3,1	1,0,1,1	10,6,4	6.62
159	16333451868175699233	70	52	30	22	20	16	38	14	18	14	6	4	10	0	24	1	2,1,2,1	1,0,1,2	7,7,6	1.00
160	9287422613789346101	70	56	32	24	20	20	42	14	20	18	6	3	7	2	26	1	1,0,3,2	0,2,0,1	6,5,7	0.79
161	2241393359402992971	70	52	27	25	19	19	40	12	17	19	5	3	6	2	24	3	2,2,1,0	0,1,2,0	7,5,4	0.05
162	13642108178726191455	70	60	33	27	21	23	48	12	19	23	7	2	9	0	28	2	3,1,2,1	0,1,0,1	5,5,8	0.41
163	6596078924339838325	70	48	20	28	18	22	42	6	18	22	1	3	4	0	23	1	0,0,0,1	1,2,0,0	0,2,6	0.00
164	17996793743663036809	70	42	22	20	16	16	36	6	16	16	3	2	5	0	20	2	1,1,1,0	0,0,0,2	3,1,6	0.00
165	10950764489276683679	70	44	19	25	11	21	32	12	11	21	4	2	6	0	21	0	0,0,3,1	1,0,0,1	3,4,5	0.05
166	3904735234890330547	70	54	25	29	15	21	38	16	15	21	5	4	8	1	25	2	1,1,3,0	2,1,1,0	4,6,8	1.79
167	15305450054213529033	70	52	28	24	18	20	40	12	16	20	6	2	8	0	23	1	1,2,1,2	0,0,2,0	6,5,5	0.30
168	8259420799827175901	70	58	32	26	18	20	38	20	18	20	7	3	9	1	28	0	1,2,2,2	1,0,1,1	5,9,6	44.73
169	1213391545440822771	70	56	29	27	21	19	42	14	21	19	4	4	8	0	27	1	1,1,2,0	1,0,1,2	6,7,3	1.55
170	12614106364764021255	70	42	23	19	15	17	32	10	15	17	4	1	4	1	20	0	0,1,2,1	0,1,0,0	3,3,4	0.00
171	5568077110377668125	70	40	20	20	16	14	32	8	16	14	2	3	5	0	18	1	0,0,2,0	0,1,1,1	2,0,8	0.01
172	16968791929700866609	70	48	24	24	18	20	38	10	16	20	4	2	5	1	22	0	0,1,2,1	1,0,0,1	4,5,3	0.00
173	9922762675314513479	70	50	29	21	13	15	32	18	11	15	9	3	12	0	23	2	0,3,3,3	2,0,1,0	9,7,8	3.12
174	2876733420928160347	70	52	31	21	21	15	36	16	21	15	5	3	6	2	24	0	0,2,2,1	3,0,0,0	5,6,5	0.43
175	14277448240251358833	70	54	28	26	18	20	40	14	16	20	6	3	9	0	25	1	1,3,2,0	1,1,1,0	7,7,4	0.11
176	7231418985865005701	70	46	20	26	14	16	32	14	14	16	3	5	7	1	20	1	0,1,0,2	0,2,3,0	7,6,3	0.16
177	185389731478652571	70	54	26	28	18	22	40	14	16	20	5	4	9	0	25	1	1,2,2,0	2,0,2,0	6,8,4	0.17
178	11586104550801851055	70	58	29	29	21	19	42	16	21	19	4	5	8	1	28	1	1,2,0,1	0,1,3,1	4,6,8	2.09
179	4540075296415497925	70	48	25	23	19	19	38	10	19	17	3	3	5	1	22	0	0,1,1,1	0,1,2,0	6,2,4	0.01
180	15940790115738696409	70	54	33	21	27	11	40	14	27	11	3	5	7	1	25	3	0,0,2,1	0,1,2,2	5,4,7	0.18
181	8894760861352343279	70	48	26	22	24	18	44	4	24	18	1	2	3	0	22	1	0,0,1,0	1,1,0,0	2,0,4	0.00
182	1848731606965990147	70	46	21	25	17	15	36	10	15	15	3	5	7	1	21	3	1,2,0,0	1,2,0,2	5,5,6	0.02
183	13249446426289188633	70	40	22	18	14	16	30	10	14	14	4	2	5	1	16	0	1,1,2,0	1,1,0,0	4,5,3	0.00
184	6203417171902835501	70	52	27	25	17	15	34	18	17	15	5	5	9	1	24	2	0,0,3,2	2,2,0,1	7,6,7	1.54
185	17604131991226033987	70	50	26	24	20	12	34	16	18	12	4	6	9	1	22	2	1,1,1,1	1,1,3,1	7,6,7	0.30
186	10558102736839680855	70	56	28	28	18	20	38	18	14	20	7	4	10	1	27	1	1,3,2,1	1,1,1,1	6,8,8	14.45
187	3512073482453327725	70	54	29	25	25	15	42	12	23	15	3	5	7	1	24	2	1,1,1,0	0,2,2,1	2,8,6	0.07
188	14912788301776526209	70	52	26	26	22	20	46	6	20	16	3	5	7	1	26	3	0,1,1,1	0,1,2,2	7,2,7	0.05
189	7866759047390173079	70	62	31	31	21	25	46	16	21	25	5	3	8	0	28	0	1,2,2,0	1,2,0,0	7,4,5	2.35
190	820729793003819947	70	58	34	24	18	22	42	16	18	22	8	1	5	4	26	1	2,3,2,1	0,0,1,0	9,5,4	0.24
191	12221444612327018433	70	44	21	23	15	15	32	12	13	15	4	4	7	1	19	1	1,1,2,0	1,0,3,0	6,6,4	0.05
192	5175415357940665301	70	58	26	32	18	20	42	16	16	18	5	7	10	2	27	3	0,2,2,1	1,1,2,3	8,10,6	2.96
193	16576130177263863787	70	58	30	28	24	26	52	6	24	26	3	1	4	0	26	1	1,1,0,1	1,0,0,0	3,3,2	0.00
194	9530100922877510655	70	54	28	26	20	18	40	14	20	16	4	5	8	1	25	2	1,2,0,1	0,1,1,3	6,5,7	0.73
195	2484071668491157525	70	46	22	24	14	16	32	14	14	16	4	4	8	0	20	1	0,0,1,3	0,3,0,1	5,7,4	0.06
196	13884786487814356009	70	54	27	27	23	21	46	8	23	21	2	3	5	0	25	1	0,1,1,0	2,1,0,0	2,1,7	0.03
197	6838757233428002879	70	48	28	20	20	16	36	12	18	14	5	3	6	2	21	0	0,1,3,1	0,0,0,3	6,4,6	0.05
198	18239472052751201363	70	54	24	30	14	28	44	10	14	28	5	1	6	0	25	1	2,1,1,1	0,1,0,0	4,3,5	0.04
199	11193442798364848233	70	38	22	16	18	12	32	6	18	12	2	2	4	0	16	1	0,1,1,0	1,1,0,0	2,3,3	0.00
