board	seed	len	d	v	h	wd_r	wd_c	cwd	slack	fv	fc	rt_v	rt_c	rt_home	rt_far	rt_blank	dem_tot	rtb_v	rtb_c	ph	sec
0	11400714819323198485	70	44	24	20	20	12	34	10	20	12	2	4	6	0	19	1	0,1,1,0	1,1,2,0	4,5,3	0.00
1	4354685564936845355	70	52	26	26	18	18	38	14	18	14	4	6	9	1	25	2	1,3,0,0	0,2,1,3	8,6,6	0.10
2	15755400384260043839	70	44	23	21	19	17	36	8	19	17	2	2	4	0	20	0	0,1,1,0	0,0,1,1	1,3,4	0.00
3	8709371129873690709	70	46	24	22	20	14	34	12	20	12	2	5	7	0	23	1	1,1,0,0	1,2,1,1	6,4,4	0.03
4	1663341875487337577	70	58	28	30	28	24	52	6	26	24	1	3	4	0	26	0	0,0,0,1	0,1,0,2	1,2,5	0.01
5	13064056694810536063	70	54	25	29	17	25	44	10	17	23	4	3	6	1	25	2	0,0,2,2	0,2,0,1	3,4,7	0.07
6	6018027440424182931	70	40	19	21	17	17	34	6	15	15	2	3	5	0	18	0	0,0,0,2	0,1,1,1	2,5,3	0.00
7	17418742259747381417	70	52	28	24	14	16	30	22	14	14	7	5	11	1	24	0	0,3,2,2	0,2,3,0	12,7,5	0.70
8	10372713005361028285	70	52	29	23	15	15	32	20	15	13	7	5	11	1	25	1	1,3,2,1	0,1,3,1	9,5,10	2.54
9	3326683750974675155	70	50	20	30	14	22	38	12	12	20	4	5	9	0	24	1	0,3,0,1	2,2,0,1	5,7,6	0.15
10	14727398570297873639	70	56	28	28	22	20	44	12	20	20	4	4	7	1	26	1	1,1,1,1	1,1,0,2	6,4,6	0.09
11	7681369315911520509	70	48	23	25	13	21	36	12	13	19	5	3	7	1	23	1	0,2,2,1	0,1,2,0	5,4,7	0.02
12	635340061525167377	70	48	28	20	24	12	38	10	22	12	3	4	6	1	22	2	0,0,1,2	1,1,2,0	5,2,7	0.01
13	12036054880848365863	70	48	25	23	15	19	34	14	13	19	6	2	6	2	23	0	1,3,0,2	0,1,0,1	6,4,6	0.26
14	4990025626462012731	70	54	28	26	16	22	40	14	16	22	6	2	7	1	24	1	1,3,0,2	1,1,0,0	7,5,4	0.20
15	16390740445785211217	70	66	34	32	30	24	56	10	30	24	2	4	5	1	31	1	0,0,1,1	1,2,0,1	2,4,6	0.23
16	9344711191398858085	70	64	34	30	18	26	48	16	18	26	8	2	7	3	30	4	2,3,2,1	1,0,0,1	7,7,6	2.06
17	2298681937012504955	70	52	25	27	19	19	38	14	19	19	3	4	5	2	24	0	0,1,2,0	0,2,1,1	8,4,2	0.03
18	13699396756335703439	70	46	25	21	17	19	36	10	17	17	4	2	5	1	22	0	0,3,1,0	0,0,1,1	5,3,4	0.01
