board	seed	len	d	cwd	slack	md	dem_tot	dem_ctr_w	dem_row	dem_col	mis_cnt	mis_mass	flow_row	flow_col	blank_r	blank_c	sec
146	15698111806650531855	70	42	30	12	30	0	0	0,0,0,0,0	0,0,0,0,0	18	31	2,3,5,5	2,5,5,3	1	1	0.01
147	8652082552264178725	70	50	40	10	40	0	0	0,0,0,0,0	0,0,0,0,0	21	31	4,6,3,5	6,6,5,5	2	2	0.03
148	1606053297877825593	70	56	40	16	36	1	1	0,0,0,0,0	0,1,0,0,0	20	31	6,6,4,6	6,4,1,3	4	2	2.55
149	13006768117201024079	70	40	34	6	32	2	2	0,0,1,0,1	0,0,0,0,0	21	36	4,1,5,3	6,5,5,3	1	1	0.00
150	5960738862814670947	70	48	32	16	30	3	3	0,0,0,0,0	1,0,1,1,0	16	30	0,6,6,5	2,5,3,3	3	1	0.36
151	17361453682137869433	70	58	40	18	36	0	0	0,0,0,0,0	0,0,0,0,0	17	28	4,4,4,6	6,6,2,4	4	4	3.83
152	10315424427751516301	70	48	38	10	38	0	0	0,0,0,0,0	0,0,0,0,0	21	35	4,4,6,5	4,4,4,7	3	3	0.02
153	3269395173365163171	70	54	48	6	46	0	0	0,0,0,0,0	0,0,0,0,0	24	38	8,6,4,5	6,7,7,3	3	1	0.02
154	14670109992688361655	70	54	40	14	40	0	0	0,0,0,0,0	0,0,0,0,0	20	34	4,8,5,5	6,6,3,3	2	2	0.21
155	7624080738302008525	70	52	42	10	38	2	2	0,1,0,0,0	0,1,0,0,0	23	38	4,6,4,6	3,3,7,5	4	0	0.05
156	578051483915655393	70	54	44	10	42	3	2	0,0,0,0,0	1,1,0,1,0	23	38	7,7,5,7	2,4,5,5	0	2	0.02
157	11978766303238853879	70	62	50	12	46	2	0	1,0,0,0,0	1,0,0,0,0	22	37	4,6,8,7	4,5,7,5	3	1	0.67
158	4932737048852500747	70	56	38	18	36	1	2	0,0,1,0,0	0,0,0,0,0	20	35	3,3,3,5	6,8,5,3	0	2	6.42
159	16333451868175699233	70	52	38	14	32	1	0	0,0,0,0,0	1,0,0,0,0	20	34	3,7,3,5	4,4,2,4	0	4	1.03
160	9287422613789346101	70	56	42	14	38	1	0	0,0,0,0,1	0,0,0,0,0	21	34	7,5,3,5	6,2,4,6	0	4	0.83
161	2241393359402992971	70	52	40	12	36	3	3	1,0,1,1,0	0,0,0,0,0	18	29	4,3,5,5	4,6,6,3	1	3	0.05
162	13642108178726191455	70	60	48	12	42	2	1	1,0,0,0,0	0,1,0,0,0	24	38	6,5,3,5	4,6,8,5	1	3	0.45
163	6596078924339838325	70	48	42	6	40	1	0	0,0,0,0,0	1,0,0,0,0	21	36	4,2,6,6	4,6,7,5	4	2	0.00
164	17996793743663036809	70	42	36	6	32	2	1	1,0,0,0,0	0,0,0,1,0	21	29	6,4,3,3	4,2,4,6	2	4	0.00
165	10950764489276683679	70	44	32	12	32	0	0	0,0,0,0,0	0,0,0,0,0	16	32	0,4,4,3	2,6,8,5	3	3	0.05
166	3904735234890330547	70	54	38	16	36	2	1	1,0,0,1,0	0,0,0,0,0	22	37	2,6,2,5	4,7,5,5	3	1	1.84
167	15305450054213529033	70	52	40	12	36	1	0	0,0,0,0,1	0,0,0,0,0	24	38	6,4,3,3	7,3,5,5	2	0	0.32
168	8259420799827175901	70	58	38	20	38	0	0	0,0,0,0,0	0,0,0,0,0	19	35	2,4,5,7	4,6,6,4	2	4	44.51
169	1213391545440822771	70	56	42	14	40	1	0	0,0,0,0,0	0,0,0,0,1	22	37	4,8,4,5	4,6,6,3	3	3	1.55
170	12614106364764021255	70	42	32	10	32	0	0	0,0,0,0,0	0,0,0,0,0	19	33	2,6,4,3	6,4,4,3	3	3	0.00
171	5568077110377668125	70	40	32	8	30	1	2	0,0,1,0,0	0,0,0,0,0	19	35	2,4,4,6	3,3,5,3	4	0	0.01
172	16968791929700866609	70	48	38	10	36	0	0	0,0,0,0,0	0,0,0,0,0	22	35	4,4,2,6	5,7,5,3	4	0	0.00
173	9922762675314513479	70	50	32	18	26	2	0	0,0,0,0,1	1,0,0,0,0	16	27	4,2,4,1	2,5,5,3	3	1	3.00
174	2876733420928160347	70	52	36	16	36	0	0	0,0,0,0,0	0,0,0,0,0	20	34	4,4,6,7	4,5,3,3	3	1	0.45
175	14277448240251358833	70	54	40	14	36	1	0	1,0,0,0,0	0,0,0,0,0	19	27	4,4,3,5	4,6,5,5	2	2	0.12
176	7231418985865005701	70	46	32	14	30	1	1	0,0,0,1,0	0,0,0,0,0	20	33	2,4,5,3	5,3,3,5	2	0	0.17
177	185389731478652571	70	54	40	14	36	1	1	0,0,0,0,0	0,1,0,0,0	16	27	2,2,6,6	3,5,7,5	4	0	0.18
178	11586104550801851055	70	58	42	16	40	1	1	0,0,0,1,0	0,0,0,0,0	20	30	6,4,6,5	6,4,4,5	3	3	2.08
179	4540075296415497925	70	48	38	10	36	0	0	0,0,0,0,0	0,0,0,0,0	20	28	6,3,5,5	6,4,4,3	1	3	0.01
180	15940790115738696409	70	54	40	14	38	3	2	0,0,0,0,0	0,1,0,1,1	22	35	8,9,5,5	2,2,4,3	1	3	0.16
181	8894760861352343279	70	48	44	4	42	1	0	0,0,0,0,0	1,0,0,0,0	23	38	7,7,5,5	6,4,4,4	0	4	0.00
182	1848731606965990147	70	46	36	10	30	3	1	1,0,0,0,0	1,1,0,0,0	19	32	4,3,5,3	4,4,4,3	1	3	0.02
