board	seed	len	d	cwd	slack	md	dem_tot	dem_ctr_w	dem_row	dem_col	mis_cnt	mis_mass	flow_row	flow_col	blank_r	blank_c	sec
89	11493409685062524771	70	54	44	10	42	2	1	0,0,0,0,0	1,1,0,0,0	22	36	8,4,5,7	4,4,4,6	2	4	0.02
90	4447380430676171639	70	58	52	6	48	2	0	1,0,0,0,0	0,0,0,0,1	21	37	4,7,11,3	4,8,6,5	1	3	0.01
91	15848095249999370125	70	38	28	10	28	0	0	0,0,0,0,0	0,0,0,0,0	15	24	2,3,5,3	2,2,4,7	1	3	0.00
92	8802065995613016993	70	54	40	14	38	1	0	0,0,0,0,0	1,0,0,0,0	21	34	6,8,7,3	2,2,5,5	2	2	0.51
93	1756036741226663863	70	56	44	12	42	1	1	0,0,0,0,0	0,0,0,1,0	19	31	6,6,5,7	2,4,6,6	2	4	0.08
94	13156751560549862347	70	48	34	14	32	2	2	0,0,0,0,0	0,1,0,1,0	19	28	6,4,3,5	5,3,3,3	2	0	0.02
95	6110722306163509217	70	48	32	16	30	0	0	0,0,0,0,0	0,0,0,0,0	19	33	5,3,5,5	2,6,1,3	0	2	0.36
96	17511437125486707701	70	56	46	10	40	0	0	0,0,0,0,0	0,0,0,0,0	20	38	6,8,6,2	4,2,8,4	4	4	0.05
97	10465407871100354571	70	52	40	12	38	0	0	0,0,0,0,0	0,0,0,0,0	20	35	4,6,2,4	5,7,5,5	4	0	0.02
98	3419378616714001439	70	36	30	6	28	1	1	0,0,0,0,0	0,0,0,1,0	18	33	0,4,4,6	4,4,3,3	4	2	0.00
99	14820093436037199925	70	44	30	14	28	1	1	0,1,0,0,0	0,0,0,0,0	17	29	3,1,3,5	2,6,3,5	0	2	0.01
100	7774064181650846793	70	46	38	8	38	0	0	0,0,0,0,0	0,0,0,0,0	19	34	6,4,3,3	3,3,7,9	2	0	0.00
101	728034927264493663	70	42	30	12	24	1	1	0,0,0,0,0	0,1,0,0,0	13	24	3,1,5,3	2,4,4,2	0	4	0.04
102	12128749746587692147	70	34	28	6	28	0	0	0,0,0,0,0	0,0,0,0,0	22	35	3,3,5,3	2,2,6,4	0	4	0.00
